date_h,AL,CA,DN,EA,JA,NO,NZ,SD,SZ,UK,US
1960,4.8797128,4.333026736,3.534642804,5.933203299,4.724586205,7.020084375,5.801672267,4.151551657,3.771966182,5.781105453,3.755560519
1960.5,4.96452516,4.363877652,3.576917944,5.863686401,4.56641625,6.893784537,5.726061298,4.292027471,3.598460515,5.63703571,3.867599006
1961,4.942600133,4.419057278,3.542087446,5.724656354,4.404450402,6.685811885,5.605073522,4.340334146,3.346984056,5.435181603,3.913662598
1961.5,4.968087648,4.50471868,3.563778311,5.642306937,4.313542681,6.547997034,5.543723152,4.440205455,3.169361451,5.304804921,4.002274687
1962,4.946434346,4.541492463,3.532508501,5.523521996,4.169081035,6.384786709,5.441314978,4.493574177,2.966565728,5.156841631,4.029241381
1962.5,4.922291152,4.578027359,3.519230564,5.413434254,4.039498823,6.258415898,5.35044216,4.540191857,2.803410969,5.028230551,4.053851654
1963,4.859361465,4.565727779,3.479275492,5.295306369,3.916395541,6.13269462,5.243153826,4.554584202,2.654432682,4.910890689,4.04314151
1963.5,4.767840356,4.507273015,3.418192719,5.155189959,3.772979008,6.012761659,5.116944307,4.526376197,2.515338583,4.775075024,3.985614423
1964,4.641674205,4.40232383,3.356269326,4.998862263,3.620259873,5.911883713,4.968717039,4.455677976,2.376746876,4.62462937,3.881150614
1964.5,4.521116473,4.283643814,3.302791506,4.852519172,3.481452862,5.828562238,4.822373221,4.36784618,2.25028408,4.483958012,3.76202629
1965,4.360799534,4.123807267,3.219411592,4.681610949,3.341916744,5.717214841,4.634865241,4.209013916,2.102762042,4.319528654,3.59429667
1965.5,4.226474075,3.941195011,3.141227465,4.510436112,3.241394388,5.598073063,4.436605357,4.046037695,1.962454957,4.164902895,3.402963959
1966,4.102223355,3.747599981,3.068002224,4.338218588,3.179281392,5.46770732,4.232718359,3.871164315,1.826276056,4.018317954,3.199784933
1966.5,4.02623731,3.562652109,3.016887869,4.188482685,3.158752812,5.346356787,4.042802786,3.700710794,1.705367226,3.902719107,3.000291619
1967,3.970529713,3.370802221,2.965029487,4.044805184,3.14205965,5.221390837,3.853866843,3.53227485,1.584292191,3.785325734,2.789601976
1967.5,3.938085558,3.211988096,2.967493359,3.938464238,3.149841678,5.100088752,3.709674413,3.382635382,1.504043495,3.688908558,2.616916621
1968,3.885429952,3.041886796,2.940229679,3.822452293,3.114970776,4.948247918,3.58120697,3.21503582,1.419251492,3.573690393,2.43143281
1968.5,3.780858,2.861055142,2.85684662,3.680707253,3.016994088,4.777982036,3.464198388,3.018448462,1.320084666,3.418635018,2.236427865
1969,3.589165357,2.621057729,2.672347817,3.47002917,2.8157511,4.528328567,3.319522017,2.75623578,1.163205712,3.183986648,1.991396589
1969.5,3.376370539,2.390458421,2.472510346,3.250448487,2.559212492,4.28529663,3.211768237,2.496286293,0.9915434065,2.941656712,1.75425549
1970,3.103454415,2.178246819,2.232465382,2.997006076,2.23679467,4.073022848,3.104324006,2.213385347,0.7879716822,2.678787596,1.535237452
1970.5,2.809676671,1.97740417,1.991093495,2.739251115,1.865702559,3.882482614,3.004849881,1.938617673,0.5658329655,2.406637601,1.356121178
1971,2.468942411,1.780733735,1.726088458,2.461510246,1.438040521,3.688277394,2.874560547,1.65228945,0.3001650702,2.101374994,1.160473655
1971.5,2.123113688,1.594419409,1.455947113,2.181265368,0.9916058624,3.520227069,2.726656353,1.359266284,0.02125526963,1.775020868,0.9744238549
1972,1.759232974,1.408088394,1.18077108,1.90020166,0.5373737267,3.346738309,2.545311829,1.062460043,-0.2701080147,1.410604104,0.7793870273
1972.5,1.393852666,1.23265217,0.8847187152,1.599981321,0.06248735728,3.155664991,2.307805076,0.7392941867,-0.5817165643,1.01122096,0.5646370475
1973,1.05983475,1.051892776,0.5889771797,1.311693945,-0.3718372814,2.967917022,2.033955475,0.4260643545,-0.8791945407,0.6044953167,0.3545494426
1973.5,0.7693895062,0.9248746663,0.3351222566,1.035193352,-0.780057902,2.795002092,1.735994838,0.1281894086,-1.138249141,0.2165870289,0.163830351
1974,0.5124737569,0.821186341,0.09985961746,0.7842780219,-1.108348695,2.609099386,1.406012421,-0.1579048606,-1.383667231,-0.1144533022,-0.005325261508
1974.5,0.3347530957,0.7636215845,-0.08561503662,0.5814756226,-1.370896271,2.461808139,1.060617312,-0.4106051892,-1.585317657,-0.3792791307,-0.1270835086
1975,0.2870805534,0.8161775596,-0.1650405316,0.4863826419,-1.525302272,2.408340682,0.8049392591,-0.6012389619,-1.691853246,-0.4628697201,-0.1069641549
1975.5,0.3182804807,0.9422524713,-0.1965716493,0.4892180925,-1.560668173,2.441810324,0.6336793098,-0.6996558893,-1.696817995,-0.4218541866,-0.03147300899
1976,0.3573198656,1.032172418,-0.1981084593,0.5220545803,-1.555462875,2.462659035,0.5085775366,-0.7701943829,-1.665566872,-0.3308508405,0.03126025967
1976.5,0.4008696994,1.081963577,-0.22108559,0.555395768,-1.542680203,2.44888609,0.4062230108,-0.8430022193,-1.625065359,-0.2301343408,0.09080458079
1977,0.456026528,1.080537255,-0.2618273902,0.5798911342,-1.514139884,2.446445813,0.3253233575,-0.9045914757,-1.582684429,-0.1116820678,0.1160353452
1977.5,0.479912021,1.035726514,-0.3178667237,0.5802868695,-1.497271958,2.36906618,0.3131275511,-0.9553926226,-1.555746701,-0.002369758776,0.1018159517
1978,0.5450921995,0.9758365963,-0.3633382453,0.5849916335,-1.450708357,2.303961713,0.3966861393,-0.9696450855,-1.521492844,0.09822084595,0.08532582445
1978.5,0.5958899667,0.8834137201,-0.4453092603,0.5511650928,-1.426065825,2.214623328,0.5323441646,-1.013251451,-1.516677869,0.1496512173,0.04496319161
1979,0.6732390815,0.8137694434,-0.5202973067,0.527616313,-1.391970199,2.136531854,0.7519082261,-1.03039301,-1.488207432,0.1964655824,0.0267888944
1979.5,0.7536464086,0.7442202517,-0.5701131237,0.4782385582,-1.358064565,2.030188966,1.005299997,-1.067057295,-1.478425859,0.2335178563,0.005904679801
1980,0.8807647871,0.7857267645,-0.5948283734,0.4699365281,-1.282559586,1.975693247,1.330058523,-1.054385868,-1.44415988,0.3033586,0.09502501977
1980.5,0.9821450771,0.8345480188,-0.6067621648,0.4380920856,-1.224793383,1.919343816,1.63533021,-1.05806939,-1.447084253,0.3470410124,0.1560690972
1981,1.107132248,0.939097666,-0.5353026137,0.4548268114,-1.114062242,1.937154435,1.957544728,-1.032038584,-1.419079797,0.4634319835,0.2610282116
1981.5,1.247743151,1.09030702,-0.4328818089,0.5012961059,-0.9880327123,1.98159152,2.241093231,-0.9627006351,-1.379244155,0.5830966468,0.4075624248
1982,1.37587579,1.2938677,-0.2805041766,0.5936068497,-0.8205839325,2.087466084,2.502772099,-0.8429332307,-1.292627561,0.7219045349,0.5912671396
